epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,707.634,1.06204,0.80851,1.17207,1,0.97597,0.995,0.65375,1.1082,0.73414,1.29149,0.003565,0.003565,0.003565
67,718.219,1.09664,0.95798,1.21576,0.87644,1,0.98167,0.65893,1.12616,0.7385,1.32672,0.003466,0.003466,0.003466
68,728.953,1.02552,0.85912,1.19789,0.87446,1,0.96722,0.66877,1.12828,0.71947,1.31954,0.003367,0.003367,0.003367
69,739.691,0.98702,0.88158,1.13271,0.93265,1,0.995,0.66215,1.199,0.73975,1.37639,0.003268,0.003268,0.003268
70,750.545,1.34282,1.16304,1.354,0.99894,1,0.995,0.65612,1.28524,0.73993,1.43406,0.003169,0.003169,0.003169
71,761.293,1.04927,0.90119,1.28422,0.99269,0.875,0.98167,0.65478,1.27052,0.72232,1.41513,0.00307,0.00307,0.00307
72,772.074,0.9981,0.88878,1.17315,1,0.86993,0.96227,0.63114,1.18044,0.74911,1.3362,0.002971,0.002971,0.002971
73,782.947,0.97978,0.79269,1.17724,1,0.86811,0.939,0.63568,1.10827,0.87906,1.28451,0.002872,0.002872,0.002872
74,793.598,1.77727,1.93215,1.56336,1,0.86116,0.935,0.63333,1.13888,0.94011,1.30509,0.002773,0.002773,0.002773
75,804.492,1.21601,0.92519,1.22183,0.98866,0.875,0.955,0.67006,1.15694,0.82293,1.33383,0.002674,0.002674,0.002674
76,815.482,1.04349,0.84006,1.184,0.98497,0.875,0.955,0.64713,1.17383,0.72788,1.32821,0.002575,0.002575,0.002575
77,826.313,0.99786,0.82628,1.27124,0.98148,0.875,0.971,0.63565,1.19588,0.69352,1.34139,0.002476,0.002476,0.002476
78,837.171,1.00839,0.87812,1.13946,0.98057,0.875,0.971,0.62962,1.21975,0.68618,1.36722,0.002377,0.002377,0.002377
79,848.154,1.04715,0.79713,1.19071,0.98228,0.875,0.971,0.63379,1.20478,0.65833,1.35553,0.002278,0.002278,0.002278
80,859.171,1.126,1.08805,1.1983,0.98624,0.875,0.971,0.65304,1.1746,0.66825,1.32318,0.002179,0.002179,0.002179
81,870.098,0.95209,0.76629,1.13098,0.98811,0.875,0.955,0.66004,1.1535,0.71906,1.31503,0.00208,0.00208,0.00208
82,880.805,0.92948,0.71849,1.14758,0.98795,0.875,0.955,0.66993,1.10521,0.70538,1.31166,0.001981,0.001981,0.001981
83,891.867,0.7532,1.05161,0.85557,0.98954,0.875,0.955,0.69421,1.05036,0.7507,1.28043,0.001882,0.001882,0.001882
84,902.962,0.90702,0.7791,1.08276,0.9946,0.875,0.94885,0.68702,1.01634,0.789,1.26347,0.001783,0.001783,0.001783
85,914.047,0.9356,0.72455,1.09604,0.9843,0.875,0.94357,0.68657,1.01579,0.76872,1.25684,0.001684,0.001684,0.001684
86,925.045,1.15216,1.14069,1.30302,0.98554,0.875,0.935,0.68031,1.05253,0.75459,1.28036,0.001585,0.001585,0.001585
87,935.843,0.84451,0.70724,1.07158,0.99095,0.875,0.94357,0.66563,1.08617,0.72825,1.31095,0.001486,0.001486,0.001486
88,946.419,1.00005,0.74389,1.1873,0.99278,0.875,0.955,0.68056,1.11105,0.68766,1.34096,0.001387,0.001387,0.001387
89,957.158,0.91267,0.66233,1.12188,0.9924,0.875,0.96227,0.68259,1.12284,0.65428,1.33561,0.001288,0.001288,0.001288
90,968.011,1.03382,0.83175,1.30231,0.99187,0.875,0.96227,0.66344,1.13576,0.656,1.32263,0.001189,0.001189,0.001189
91,978.686,0.78849,0.7203,1.14539,0.99136,0.875,0.971,0.67914,1.14576,0.65022,1.31576,0.00109,0.00109,0.00109
92,989.104,0.79162,0.68078,1.13287,0.99104,0.875,0.98167,0.68505,1.16319,0.65431,1.31986,0.000991,0.000991,0.000991
93,999.736,0.81871,0.79573,1.1756,0.99099,0.875,0.98167,0.68492,1.18124,0.65665,1.33192,0.000892,0.000892,0.000892
94,1010.1,0.78797,0.68224,1.04754,0.99102,0.875,0.98167,0.69326,1.20498,0.67351,1.34945,0.000793,0.000793,0.000793
95,1020.51,0.84753,0.62466,1.12308,0.98484,0.875,0.971,0.68018,1.21522,0.68133,1.35421,0.000694,0.000694,0.000694
96,1030.84,0.92168,0.63528,1.16169,0.99062,0.875,0.971,0.65424,1.20971,0.6968,1.35096,0.000595,0.000595,0.000595
97,1041.26,0.9095,0.72908,1.22558,0.99029,0.875,0.971,0.64299,1.18509,0.69962,1.33978,0.000496,0.000496,0.000496
98,1051.51,0.8915,0.60192,1.11733,0.99028,0.875,0.971,0.64314,1.15796,0.69321,1.3231,0.000397,0.000397,0.000397
99,1061.77,0.98649,0.8305,1.42177,0.99061,0.875,0.971,0.67095,1.1305,0.69067,1.30987,0.000298,0.000298,0.000298
100,1072.38,0.84165,0.63005,1.12731,0.99072,0.875,0.98167,0.66731,1.11688,0.68676,1.30332,0.000199,0.000199,0.000199
